x,y,z,u
1.49146318, -3.01465962, -0.61745274, 1.148541742476902
1.5549297, -3.01465962, -0.68263419, 1.07619376487936
1.61839622, -3.01465962, -0.7446673, 1.0033469386828908
1.68186273, -3.01465962, -0.80248758, 0.9436540258378736
1.74532925, -3.01465962, -0.85499378, 0.8865391317037697
1.80879577, -3.01465962, -0.90106681, 0.8390807663376275
1.87226229, -3.01465962, -0.93959148, 0.798018293386945
1.93572881, -3.01465962, -0.96948078, 0.7660431926144841
1.99919533, -3.01465962, -0.98970225, 0.739475021448173
2.06266184, -3.01465962, -0.99930604, 0.7170923486700648
2.12612836, -3.01465962, -0.99745394, 0.695768513301411
2.18959488, -3.01465962, -0.98344869, 0.6712539051497742
2.2530614, -3.01465962, -0.95676278, 0.6402284523493256
2.31652792, -3.01465962, -0.91706589, 0.6022492826257495
2.37999443, -3.01465962, -0.86425001, 0.5551878045580161
2.44346095, -3.01465962, -0.79845125, 0.5005765869004759
2.50692747, -3.01465962, -0.72006759, 0.44723039599670206
2.57039399, -3.01465962, -0.6297714, 0.3829594945861979
2.63386051, -3.01465962, -0.52851618, 0.32753774125594287
2.69732703, -3.01465962, -0.41753655, 0.2663881977427028
2.76079354, -3.01465962, -0.29834116, 0.21304959566843418
2.82426006, -3.01465962, -0.17269779, 0.16600142389562517
2.88772658, -3.01465962, -0.0426108, 0.12449367491352685
2.9511931, -3.01465962, 0.08970947, 0.08310914049632796
3.01465962, -3.01465962, 0.22188471, 0.05916472541019887
3.07812614, -3.01465962, 0.35141394, 0.035595388781214855
3.14159265, -3.01465962, 0.4757251, 0.022720114235036722
-3.14159265, -2.9511931, 0.35665888, 0.034504740937978354
-3.07812614, -2.9511931, 0.22464723, 0.057733356292196114
-3.01465962, -2.9511931, 0.08970947, 0.08430915833613817
-2.9511931, -2.9511931, -0.04550298, 0.1248741225116498
-2.88772658, -2.9511931, -0.17845875, 0.17270354962670428
-2.82426006, -2.9511931, -0.30679683, 0.21994972283033812
-2.76079354, -2.9511931, -0.42836933, 0.28347570284343404
-2.69732703, -2.9511931, -0.5412763, 0.3486238991627823
-2.63386051, -2.9511931, -0.64389197, 0.4101695992277909
-2.57039399, -2.9511931, -0.73488261, 0.47649409737257226
-2.50692747, -2.9511931, -0.81321596, 0.5388524167798974
-2.44346095, -2.9511931, -0.87816267, 0.5945773504033209
-2.37999443, -2.9511931, -0.92929042, 0.6421231189151972
-2.31652792, -2.9511931, -0.9664513, 0.6836336240035895
-2.2530614, -2.9511931, -0.98976346, 0.7156666719804399
-2.18959488, -2.9511931, -0.99958796, 0.7422275347394647
-2.12612836, -2.9511931, -0.99650174, 0.7671749247922371
-2.06266184, -2.9511931, -0.98126792, 0.7951589981431214
-1.99919533, -2.9511931, -0.95480433, 0.8301630027856219
-1.93572881, -2.9511931, -0.91815122, 0.8722662587373831
-1.87226229, -2.9511931, -0.87243921, 0.9258373317176002
-1.80879577, -2.9511931, -0.81885819, 0.9882003943616698
-1.74532925, -2.9511931, -0.75862784, 1.059884943214294
-1.68186273, -2.9511931, -0.69297054, 1.1377238748293155
-1.61839622, -2.9511931, -0.62308695, 1.2265401901650734
-1.5549297, -2.9511931, -0.55013472, 1.3190667742390498
-1.49146318, -2.9511931, -0.47521053, 1.4239515456895246
-1.42799666, -2.9511931, -0.39933557, 1.5336079521637391
-1.36453014, -2.9511931, -0.32344436, 1.6505948146394265
-1.30106362, -2.9511931, -0.24837706, 1.7687037343417653
-1.23759711, -2.9511931, -0.17487476, 1.8905985311945295
-1.17413059, -2.9511931, -0.1035778, 2.008086319241405
-1.11066407, -2.9511931, -0.03502663, 2.1351648824536427
-1.04719755, -2.9511931, 0.03033502, 2.257913076479364
-0.98373103, -2.9511931, 0.09215501, 2.3746673639923825
-0.92026451, -2.9511931, 0.1501662, 2.4915902843886935
-0.856798, -2.9511931, 0.20417849, 2.602691481727787
-0.79333148, -2.9511931, 0.25407014, 2.7072515418288363
-0.72986496, -2.9511931, 0.29977845, 2.8040068305517534
-0.66639844, -2.9511931, 0.34129022, 2.896530190286584
-0.60293192, -2.9511931, 0.37863219, 2.981050375191894
-0.53946541, -2.9511931, 0.4118617, 3.0556530962873723
-0.47599889, -2.9511931, 0.44105785, 3.1235731271060914
-0.41253237, -2.9511931, 0.46631311, 3.182843095945584
-0.34906585, -2.9511931, 0.48772574, 3.2328243859416377
-0.28559933, -2.9511931, 0.50539297, 3.275011093777917
-0.22213281, -2.9511931, 0.51940505, 3.3083639470318955
-0.1586663, -2.9511931, 0.52984028, 3.333459722328516
-0.09519978, -2.9511931, 0.53676092, 3.350136565572908
-0.03173326, -2.9511931, 0.54021018, 3.3584680204981727
0.03173326, -2.9511931, 0.54021018, 3.3584585083857603
0.09519978, -2.9511931, 0.53676092, 3.3501100238133716
0.1586663, -2.9511931, 0.52984028, 3.333437908577937
0.22213281, -2.9511931, 0.51940505, 3.3082361935508664
0.28559933, -2.9511931, 0.50539297, 3.2748158667371907
0.34906585, -2.9511931, 0.48772574, 3.2330181865030325
0.41253237, -2.9511931, 0.46631311, 3.1821709843551367
0.47599889, -2.9511931, 0.44105785, 3.123734521361744
0.53946541, -2.9511931, 0.4118617, 3.0564992414690493
0.60293192, -2.9511931, 0.37863219, 2.980077042253423
0.66639844, -2.9511931, 0.34129022, 2.895248094261364
0.72986496, -2.9511931, 0.29977845, 2.8053569662075533
0.79333148, -2.9511931, 0.25407014, 2.70870071421986
0.856798, -2.9511931, 0.20417849, 2.6034548505858597
0.92026451, -2.9511931, 0.1501662, 2.4927019770276524
0.98373103, -2.9511931, 0.09215501, 2.376956912717453
1.04719755, -2.9511931, 0.03033502, 2.2578798270098765
1.11066407, -2.9511931, -0.03502663, 2.1354909163065
1.17413059, -2.9511931, -0.1035778, 2.0085375407531427
1.23759711, -2.9511931, -0.17487476, 1.8903035374844575
1.30106362, -2.9511931, -0.24837706, 1.7645914534644886
1.36453014, -2.9511931, -0.32344436, 1.6499894468884477
1.42799666, -2.9511931, -0.39933557, 1.5375964150898431
1.49146318, -2.9511931, -0.47521053, 1.4253540769550606
1.5549297, -2.9511931, -0.55013472, 1.321594420840122
1.61839622, -2.9511931, -0.62308695, 1.2252297213462366
1.68186273, -2.9511931, -0.69297054, 1.1367966225052561
1.74532925, -2.9511931, -0.75862784, 1.0592403884881232
1.80879577, -2.9511931, -0.81885819, 0.9850435015319164
1.87226229, -2.9511931, -0.87243921, 0.9245482800215973
1.93572881, -2.9511931, -0.91815122, 0.871675443668095
1.99919533, -2.9511931, -0.95480433, 0.8292647593001701
2.06266184, -2.9511931, -0.98126792, 0.7950446174104123
2.12612836, -2.9511931, -0.99650174, 0.7666411625268401
2.18959488, -2.9511931, -0.99958796, 0.7414301290475169
2.2530614, -2.9511931, -0.98976346, 0.7155255255856688
2.31652792, -2.9511931, -0.9664513, 0.682785539917466
2.37999443, -2.9511931, -0.92929042, 0.6427711800666787
2.44346095, -2.9511931, -0.87816267, 0.5942482696126474
2.50692747, -2.9511931, -0.81321596, 0.536872292503165
2.57039399, -2.9511931, -0.73488261, 0.47762528132048376
2.63386051, -2.9511931, -0.64389197, 0.40848294138563457
2.69732703, -2.9511931, -0.5412763, 0.34551832459212206
2.76079354, -2.9511931, -0.42836933, 0.28663270854880035
2.82426006, -2.9511931, -0.30679683, 0.22207582202708287
2.88772658, -2.9511931, -0.17845875, 0.17405339264262437
2.9511931, -2.9511931, -0.04550298, 0.12504707592680955
3.01465962, -2.9511931, 0.08970947, 0.08745893443125115
3.07812614, -2.9511931, 0.22464723, 0.05733631229579557
3.14159265, -2.9511931, 0.35665888, 0.030340880395842245
-3.14159265, -2.88772658, 0.23292022, 0.05043198131672194
-3.07812614, -2.88772658, 0.09541231, 0.08294037836228439
-3.01465962, -2.88772658, -0.0426108, 0.12329818321567543
-2.9511931, -2.88772658, -0.17845875, 0.17055013455095158
-2.88772658, -2.88772658, -0.30961141, 0.22310119369176182
-2.82426006, -2.88772658, -0.43376684, 0.29352463796805267
-2.76079354, -2.88772658, -0.54888093, 0.359145246443735
-2.69732703, -2.88772658, -0.65319788, 0.4282476787906082
-2.63386051, -2.88772658, -0.74527161, 0.49760457342573233
-2.57039399, -2.88772658, -0.82397802, 0.5661176663136842
-2.50692747, -2.88772658, -0.88851848, 0.6236499948953766
-2.44346095, -2.88772658, -0.93841505, 0.6740538658359719
-2.37999443, -2.88772658, -0.97349832, 0.7175451403090274
-2.31652792, -2.88772658, -0.99388861, 0.7522158006756705
-2.2530614, -2.88772658, -0.9999717, 0.7817412644360803
-2.18959488, -2.88772658, -0.99237005, 0.8110783368207852
-2.12612836, -2.88772658, -0.97191079, 0.8458932303278297
-2.06266184, -2.88772658, -0.93959148, 0.889338513497431
-1.99919533, -2.88772658, -0.89654483, 0.9414890151431011
-1.93572881, -2.88772658, -0.84400333, 1.0075724295702526
-1.87226229, -2.88772658, -0.78326483, 1.082447730594174
-1.80879577, -2.88772658, -0.71565977, 1.1681681811594284
-1.74532925, -2.88772658, -0.64252085, 1.2622693189759424
-1.68186273, -2.88772658, -0.56515569, 1.3713610746352838
-1.61839622, -2.88772658, -0.48482281, 1.4808244789251557
-1.5549297, -2.88772658, -0.40271138, 1.607939425686333
-1.49146318, -2.88772658, -0.31992467, 1.7410741195141728
-1.42799666, -2.88772658, -0.23746746, 1.871781481848817
-1.36453014, -2.88772658, -0.15623711, 2.0079898842189863
-1.30106362, -2.88772658, -0.07701826, 2.1534898968850973
-1.23759711, -2.88772658, -0.00048079, 2.2899607397648913
-1.17413059, -2.88772658, 0.07281915, 2.4351408363002753
-1.11066407, -2.88772658, 0.14243565, 2.573787208343236
-1.04719755, -2.88772658, 0.20802713, 2.7078895948199158
-0.98373103, -2.88772658, 0.2693488, 2.8379686435401
-0.92026451, -2.88772658, 0.3262436, 2.9624814087175815
-0.856798, -2.88772658, 0.37863219, 3.0774713681689794
-0.79333148, -2.88772658, 0.42650222, 3.184667398979026
-0.72986496, -2.88772658, 0.46989737, 3.2867554753586505
-0.66639844, -2.88772658, 0.50890633, 3.3779005867992695
-0.60293192, -2.88772658, 0.54365198, 3.460290663331912
-0.53946541, -2.88772658, 0.5742811, 3.53515473671842
-0.47599889, -2.88772658, 0.60095464, 3.6003386247473363
-0.41253237, -2.88772658, 0.62383881, 3.6564833586795857
-0.34906585, -2.88772658, 0.64309695, 3.7046769867966587
-0.28559933, -2.88772658, 0.65888246, 3.744181813174004
-0.22213281, -2.88772658, 0.67133259, 3.7755590179649485
-0.1586663, -2.88772658, 0.68056331, 3.798969196322823
-0.09519978, -2.88772658, 0.6866652, 3.814422714680797
-0.03173326, -2.88772658, 0.68970036, 3.8221402572336975
0.03173326, -2.88772658, 0.68970036, 3.8221300306314117
0.09519978, -2.88772658, 0.6866652, 3.814403086269071
0.1586663, -2.88772658, 0.68056331, 3.798892111682394
0.22213281, -2.88772658, 0.67133259, 3.7755266419964815
0.28559933, -2.88772658, 0.65888246, 3.74412651250791
0.34906585, -2.88772658, 0.64309695, 3.7043918511891185
0.41253237, -2.88772658, 0.62383881, 3.656683654741061
0.47599889, -2.88772658, 0.60095464, 3.5997624418495127
0.53946541, -2.88772658, 0.5742811, 3.535004789165514
0.60293192, -2.88772658, 0.54365198, 3.46149583219217
